tick,time
232,1.5772
233,4.3035
234,3.7451
235,0.929
236,0.0543
237,0.2052
238,0.7188
239,0.9285
240,0.0476
241,0.0313
242,6.0072
243,0.0362
244,0.1321
245,0.0337
246,1.1946
247,0.04
248,0.1413
249,1.0638
250,3.0547
251,0.6061
252,0.0278
253,0.9957
254,0.0905
255,0.0441
256,0.5706
257,1.3894
258,0.9902
259,0.0307
260,0.3262
261,0.255
262,0.8686
263,0.161
264,0
265,2.6957
266,0.5893
267,0.0433
268,1.6681
269,0.8146
270,0.1782
271,0.1138
272,0.9925
273,4.1475
274,1.8219
275,0.9793
276,1.4007
277,0.2897
278,0.0356
279,0.3201
280,0.0531
281,1.9359
282,1.4521
283,2.291
284,0.6584
285,1.2556
286,4.3845
287,0.0501
288,0.135
289,0.0442
290,0.322
291,0.3763
292,1.0135
293,0.8561
294,0.1051
295,0.0453
296,0.0602
297,0.0442
298,2.116
299,0.0282
300,0.4662
301,1.6858
302,0.4522
303,1.7013
304,2.0108
305,0.9297
306,0.0645
307,0.0479
308,1.391
309,0.0465
310,0.036
311,5.3497
312,0.9746
313,0.3604
314,0.1001
315,0.0443
316,0.5012
317,0.5583
318,0.0323
319,0.0325
320,1.2367
321,0.0311
322,2.7746
323,0.0389
324,0
325,0.1856
326,0.0555
327,0.0404
328,0.1197
329,2.3734
330,0.0316
331,1.3157
332,0.337
333,1.6977
334,0.0913
335,0.1373
336,0.052
337,2.9264
338,0.9666
339,1.8761
340,1.128
341,0.5323
342,0.0409
343,0.1758
344,6.4727
345,2.7088
346,3.6991
347,2.9217
348,2.0271
349,0.2092
350,0.4744
351,0.1231
352,1.2419
353,0.135
354,0.7512
355,1.7996
356,1.2297
357,0.1911
358,1.2391
359,1.5203
360,0.0533
361,0.1549
362,0.0444
363,0.048
364,0.5341
365,0.9063
366,0.0638
367,0.048
368,0.1356
369,0.248
370,0.1811
371,1.1952
372,3.9848
373,0.0654
374,0.0964
375,1.9746
376,0.9277
377,0.0472
378,1.2901
379,0.8459
380,6.4637
381,0.0345
382,0.0417
383,8.3442
384,3.856
385,0.038
386,1.0784
387,0.3566
388,5.6164
389,1.2779
390,1.3998
391,0.1233
392,0.1623
393,0.7177
394,0.0928
395,0.0453
396,0.0524
397,1.6247
398,1.221
399,0.8794
400,0.0506
401,0.0336
402,5.7362
403,1.6514
404,6.2105
405,0.558
406,0.0641
407,4.5816
408,0.7599
409,0.0409
410,0.9016
411,1.2954
412,0.9982
413,0.0545
414,0.5917
415,0.0482
416,6.3568
417,0.043
418,5.3995
419,0.0325
420,1.4287
421,0.2581
422,0.039
423,0.0383
424,1.7343
425,0.4835
426,5.0498
427,0.0429
428,3.3581
429,2.6216
430,0.0317
431,0.1192
432,0.1594
433,0.0533
434,0.4513
435,0.0409
436,1.3572
437,2.2806
438,16.3657
439,0.9275
440,7.0391
441,0.0377
442,0.0379
443,0.0307
444,5.1781
445,0.0363
446,0.4974
447,1.0116
448,5.2253
449,0.486
450,0.0356
451,5.5938
452,2.4848
453,0.3802
454,0.0974
455,0.0433
456,0.0548
457,0.8701
458,1.791
459,0.848
460,1.1502
461,3.5855
462,0.0444
463,1.2736
464,0.2038
465,0.0339
466,1.4395
467,0.043
468,2.9726
469,0.0443
470,1.3835
471,0.1196
472,0.0338
473,0.2762
474,1.4266
475,0.0436
476,1.6842
477,1.1509
478,0.6154
479,0.0357
480,0.3466
481,0.6672
482,0.0396
483,0.2837
484,1.5169
485,0.0372
486,1.4056
487,0.0463
488,1.4157
489,0.0468
490,0.0345
491,0.1115
492,0.035
493,1.6664
494,0.0932
495,0.0409
496,0.3577
497,3.8871
498,0.0343
499,2.4577
500,0.2683
501,1.6435
502,0.0397
503,2.9337
504,0.0034
505,2.9337
506,0.0595
507,0.7426
508,1.3455
509,0.047
510,0.0337
511,0.1243
512,0.9332
513,1.375
514,0.0926
515,0.0404
516,6.2397
517,1.1626
518,0.034
519,1.1397
520,4.6797
521,0.0286
522,1.2598
523,7.5968
524,0.9546
525,0.2424
526,0.0606
527,0.3191
528,0.8396
529,1.0622
530,0.0345
531,0.2571
532,0.0331
533,0.5677
534,0.0911
535,6.4617
536,0.0506
537,0.0432
538,1.038
539,0.8191
540,4.2837
541,0.8867
542,4.0951
543,1.7713
544,3.3323
545,0.0377
546,2.2063
547,0.0477
548,0.4239
549,0.5312
550,4.3096
551,0.1166
552,0.036
553,0.0687
554,5.243
555,0.035
556,0.1783
557,0.0419
558,0.4791
559,0.2902
560,0.7437
561,4.3063
562,10.7881
563,0.0411
564,0.0035
565,0.0436
566,0.06
567,0.0459
568,3.6984
569,0.0454
570,0.0338
571,0.1166
572,0.0311
573,0.0562
574,0.0954
575,4.3963
576,1.2584
577,0.9784
578,0.0368
579,0.5771
580,4.855
581,0.9246
582,0.0446
583,0.1647
584,0.1689
585,7.3088
586,4.0851
587,0.051
588,1.5623
589,0.4348
590,1.8037
591,0.1234
592,5.108
593,3.0005
594,0.0941
595,0.0418
596,1.7815
597,0.0427
598,0.0307
599,0.0373
600,0.0493
601,0.0291
602,0.0377
603,1.3465
604,0
605,0.0503
606,0.343
607,0.2237
608,0.1694
609,0.0412
610,0.6536
611,0.4739
612,0.3128
613,3.1238
614,0.2556
615,0.478
616,0.6717
617,6.4705
618,0.0368
619,4.357
620,0.0522
621,0.0348
622,1.9764
623,0.2486
624,6.7816
625,3.4245
626,3.0334
627,7.2781
628,0.7056
629,1.8786
630,0.7137
631,0.1169
632,3.8124
633,3.1044
634,0.1044
635,0.0363
636,3.0676
637,7.317
638,0.849
639,4.1465
640,4.938
641,0.0289
642,0.9361
643,0.0387
644,0.0034
645,0.0401
646,0.0604
647,0.3151
648,1.2678
649,0.0507
650,1.174
651,0.1054
652,4.9619
653,0.0549
654,1.0887
655,0.5995
656,0.0519
657,0.0431
658,0.7028
659,0.0323
660,0.0529
661,0.0318
662,0.0442
663,0.0352
664,0
665,5.2891
666,1.1095
667,1.8233
668,0.1318
669,1.0031
670,3.0534
671,5.05
672,0.3939
673,3.4319
674,0.3762
675,0.6409
676,0.9677
677,0.3953
678,0.0361
679,0.0321
680,0.051
681,1.561
682,0.8349
683,0.0377
684,5.2447
685,5.9457
686,0.06
687,0.8827
688,0.1285
689,0.0439
690,1.7344
691,1.7503
692,5.8295
693,0.8345
694,5.5266
695,0.0434
696,9.6939
697,8.2675
698,5.9957
699,3.0244
700,2.5837
701,8.6949
702,0.0463
703,0.5261
704,4.4199
705,0.1045
706,9.8736
707,0.0504
708,1.1563
709,0.0453
710,3.145
711,0.5939
712,0.0352
713,5.5055
714,0.0953
715,5.3675
716,1.5534
717,0.4382
718,2.5673
719,0.2635
720,1.4405
721,0.3529
722,0.5253
723,0.0379
724,0.0048
725,0.0439
726,1.6153
727,0.3494
728,0.1243
729,0.0551
730,2.675
731,3.7065
732,0.9832
733,1.0856
734,0.0997
735,0.0442
736,0.0568
737,0.0498
738,4.4799
739,0.1779
740,0.0544
741,0.5868
742,0.043
743,11.568
744,0.0054
745,3.6811
746,0.6898
747,11.6451
748,1.3489
749,5.0156
750,0.0353
751,6.7816
752,7.4205
753,1.2445
754,5.3532
755,0.0457
756,0.2562
757,4.3715
758,0.3016
759,2.7148
760,0.7172
761,0.0409
762,6.0949
763,0.0446
764,3.1455
765,4.6796
766,6.1758
767,0.5219
768,0.1285
769,0.8128
770,1.2985
771,10.4487
772,4.7223
773,0.2703
774,0.0982
775,0.056
776,5.2729
777,0.7366
778,0.0394
779,6.6938
780,0.5074
781,0.0417
782,0.0372
783,0.0415
784,0.4499
785,1.113
786,0.0642
787,0.0565
788,2.8399
789,0.0534
790,5.6387
791,1.2993
792,3.5479
793,3.9116
794,0.7494
795,0.1865
796,0.0543
797,6.4745
798,3.4756
799,3.8295
800,2.7974
801,4.0334
802,1.157
803,0.0359
804,0.7303
805,0.0386
806,0.0617
807,5.457
808,0.8293
809,12.0154
810,0.0422
811,9.4018
812,0.0418
813,1.0808
814,11.4899
815,0.0508
816,0.3091
817,0.0505
818,2.4739
819,1.127
820,0.0639
821,0.0422
822,10.414
823,4.2446
824,1.0715
825,2.7883
826,6.2522
827,0.0715
828,0.1334
829,1.6906
830,0.1193
831,0.6248
832,0.0543
833,3.9957
834,3.6987
835,5.7235
836,0.0666
837,0.0532
838,3.3704
839,2.5077
840,0.3627
841,4.4314
842,1.3123
843,0.5352
844,3.0121
845,0.0517
846,3.8624
847,1.2866
848,2.0067
849,0.0564
850,1.366
851,0.1422
852,0.3639
853,0.0679
854,0.102
855,0.0565
856,2.2595
857,0.8068
858,1.8383
859,1.5422
