tick,time
228,0.018
229,0.0172
230,0.0069
231,0.0193
232,0.0066
233,34.8729
234,0.4743
235,42.677
236,0.0207
237,0.0094
238,25.0002
239,0.0221
240,10.258
241,0.0091
242,0.0199
243,10.2715
244,52.2634
245,9.8406
246,0.0262
247,10.0054
248,9.0523
249,37.6107
250,0.0151
251,0.0251
252,0.0147
253,0.0245
254,0.0237
255,0.0243
256,0.027
257,0.0153
258,0.0256
259,0.028
260,0.028
261,44.4512
262,91.1042
263,0.1144
264,38.7509
265,46.8364
266,21.3237
267,0.0269
268,0.0308
269,0.0415
270,91.3163
271,0.0229
272,0.0117
273,0.0212
274,0.0224
275,0.0208
276,0.0224
277,42.7825
278,0.0424
279,0.0212
280,0.0219
281,0.0089
282,0.0208
283,0.0241
284,0.0106
285,0.021
286,0.0234
287,0.0218
288,0.0232
289,9.3793
290,9.2913
291,0.0241
292,0.0222
293,0.0211
294,8.9644
295,9.3264
296,0.0244
297,0.0113
298,45.9428
299,0.0228
300,0.0209
301,0.009
302,0.0238
303,0.0222
304,0.0101
305,0.0725
306,0.0202
307,0.0257
308,0.0206
309,0.0184
310,0.0092
311,0.0214
312,0.0093
313,0.0199
314,0.0453
315,0.0185
316,0.0241
317,0.0095
318,0.0194
319,0.0212
320,0.0283
321,0.0092
322,0.0216
323,0.0263
324,0.0087
325,0.0202
326,0.0207
327,0.021
328,0.0237
329,0.018
330,0.0089
331,0.0343
332,0.0092
333,0.0188
334,0.0201
335,0.0188
336,0.0229
337,0.0094
338,0.0185
339,0.0256
340,24.2795
341,23.3431
342,0.0202
343,0.0204
344,0.0065
345,46.3276
346,35.333
347,0.0163
348,0.0147
349,0.0215
350,0
351,0.0145
352,0.4663
353,0.0145
354,0.0119
355,0.0133
356,0.0148
357,0
358,0.0126
359,0.0166
360,0.0597
361,0
362,0.0135
363,0.0187
364,0
365,0.0118
366,0.0143
367,0.0144
368,0.0146
369,0.0431
370,0
371,0.0134
372,0
373,0.0132
374,0.0117
375,0.0123
376,0.0142
377,0
378,0.0119
379,0.0149
380,0.0147
381,0
382,0.0146
383,0.0153
384,0
385,0.0121
386,0.0155
387,0.0141
388,0.0161
389,0.0112
390,0.497
391,0.0152
392,0
393,0.0106
394,0.0108
395,0.0121
396,0.0163
397,0
398,0.0108
399,0.0413
400,0.0156
401,0
402,0.0125
403,0.0154
404,0
405,0.0117
406,0.015
407,0.0147
408,0.0149
409,0.0124
410,0
411,0.0149
412,0
413,0.0125
414,33.1095
415,0.0112
416,0.0146
417,0
418,0.0119
419,0.0153
420,0.014
421,0
422,0.0135
423,0.0295
424,0
425,0.0119
426,0.0145
427,0.0139
428,0.0144
429,0.012
430,0
431,0.0166
432,0
433,0.0119
434,0.037
435,0.0124
436,0.0151
437,0
438,0.0123
439,0.0149
440,0.014
441,0
442,0.0152
443,0.0152
444,0
445,0.0126
446,0.0144
447,0.0218
448,0.0154
449,0.0124
450,0
451,0.0156
452,0
453,0.0117
454,0.0123
455,0.0118
456,0.0166
457,0
458,0.0119
459,0.0151
460,0.0145
461,0
462,0.014
463,0.0157
464,0
465,0.0229
466,46.389
467,0.0435
468,0.0138
469,0.0137
470,0
471,0.0146
472,0
473,0.0117
474,0.0121
475,0.0117
476,0.0157
477,0
478,0.0117
479,0.0158
480,0.0149
481,0
482,0.0128
483,0.0149
484,0
485,0.0123
486,0.0142
487,0.0152
488,0.0146
489,0.0119
490,0
491,0.015
492,0
493,0.0132
494,0.0125
495,0.0113
496,0.0152
497,0
498,0.0124
499,56.3887
500,0.0149
501,0
502,0.0432
503,0.0168
504,0
505,0.0131
506,0.0138
507,0.0137
508,0.0143
509,0.0126
510,0
511,0.5385
512,0
513,0.0116
514,0.0125
515,0.012
516,0.0147
517,0
518,0.0124
519,0.0139
520,0.0155
521,0
522,0.0143
523,0.016
524,0
525,11.8636
526,59.0597
527,0.0129
528,0.0151
529,0.0123
530,28.1303
531,57.6526
532,39.7561
533,0.039
534,55.7605
535,0.0142
