tick,time
624,0
625,0.8976
626,0.0556
627,0.0425
628,0.7832
629,1.0916
630,0.0325
631,0.5688
632,0.8322
633,0.0572
634,1.5015
635,0.0403
636,0.9703
637,0.6273
638,0.0329
639,1.9084
640,1.409
641,2.3348
642,0.0403
643,0.6244
644,0.0074
645,2.7226
646,1.9722
647,2.0492
648,0.1213
649,0.1628
650,0.2189
651,0.1152
652,4.0185
653,0.06
654,2.8026
655,0.2461
656,0.7617
657,0.0432
658,2.941
659,1.5861
660,4.0864
661,2.7564
662,0.474
663,5.2948
664,1.5269
665,0.0428
666,0.0648
667,0.9318
668,0.1196
669,0.0448
670,1.8485
671,0.8644
672,0.0416
673,0.0642
674,0.086
675,1.2353
676,1.1918
677,0.4086
678,0.039
679,0.038
680,1.2612
681,0.037
682,0.7294
683,0.0373
684,0.0046
685,0.1458
686,0.0613
687,0.0427
688,1.9534
689,1.017
690,0.0349
691,2.2164
692,0.035
693,0.3804
694,1.5265
695,1.1936
696,0.0532
697,0.0467
698,0.3666
699,0.0429
700,0.0723
701,0.4816
702,0.0437
703,0.6158
704,2.737
705,0.1321
706,3.2861
707,3.8768
708,0.4661
709,3.0582
710,0.9966
711,0.4548
712,0.0421
713,0.4114
714,0.8156
715,1.8536
716,0.7737
717,2.228
718,5.0327
719,0.0424
720,0.1353
721,8.6643
722,0.047
723,0.0438
724,0.0079
725,3.0245
726,0.3424
727,0.055
728,0.1267
729,0.0457
730,0.0365
731,3.7911
732,0.0329
733,0.5857
734,2.585
735,1.5803
736,1.5848
737,0.9627
738,1.1505
739,9.353
740,0.1623
741,0.0367
742,1.5806
743,3.3612
744,0.0058
745,1.4524
746,1.1994
747,1.4421
748,0.6743
749,0.7283
750,0.1563
751,1.0695
752,3.5365
753,1.1091
754,1.3546
755,0.8946
756,0.0601
757,0.05
758,0.1747
759,0.2199
760,0.053
761,0.0349
762,0.9059
763,0.0461
764,0.9685
765,0.0412
766,3.9012
767,0.1859
768,0.1245
769,1.1733
770,3.8189
771,3.387
772,0.0379
773,2.0284
774,0.6222
775,1.9394
776,0.76
777,3.3469
778,0.0434
779,3.8427
780,0.0546
781,0.0431
782,5.8256
783,0.534
784,0.0064
785,8.4909
786,0.0691
787,1.9374
788,0.1233
789,2.5517
790,1.0996
791,0.1193
792,0.1438
793,0.1597
794,0.0907
795,2.8833
796,0.0558
797,0.9298
798,0.2145
799,0.0371
800,0.0537
801,0.0381
802,0.0434
803,0.043
804,0
805,0.0412
806,0.0571
807,0.0465
808,0.3118
809,0.7982
810,1.4274
811,0.113
812,0.5438
813,1.034
814,1.2202
815,0.9232
816,0.8967
817,0.0753
818,0.0363
819,0.0362
820,0.2439
821,0.0359
822,3.8207
823,0.6597
824,0
825,0.0385
826,1.0505
