tick,time
242,0.0187
243,0.0213
244,0.008
245,0.0172
246,0.0188
247,0.0183
248,0.0188
249,0.0144
250,0.0053
251,0.0166
252,0.0048
253,0.0156
254,0.0387
255,39.1161
256,23.9435
257,33.1491
258,0.0136
259,0.03
260,0.0172
261,0.0051
262,0.0189
263,0.0631
264,0.0052
265,0.015
266,0.0159
267,38.5188
268,0.0172
269,0.0146
270,76.2933
271,0.0162
272,38.7083
273,5.9908
274,0.0165
275,0.0249
276,5.5803
277,0.0066
278,38.0109
279,0.0196
280,0.0213
281,29.2523
282,0.0183
283,0.0223
284,0.0106
285,0.0177
286,0.0191
287,0.016
288,0.016
289,0.0144
290,0.0049
291,0.0168
292,0.0056
293,0.0137
294,0.0188
295,0.0141
296,0.0187
297,0.0073
298,0.0162
299,0.0179
300,0.0181
301,0.0046
302,0.0157
303,0.0447
304,0.0051
305,0.0625
306,0.0174
307,0.0169
308,0.0167
309,0.0148
310,0.0055
311,0.0181
312,0.0047
313,0.0137
314,0.0156
315,0.013
316,0.0162
317,0.0061
318,0.0141
319,0.0196
320,0.018
321,0.0056
322,29.0942
323,0.0178
324,42.7146
325,0.0138
326,0.0415
327,8.6342
328,0.0152
329,0.0126
330,0.0037
331,0.0291
332,0.0037
333,0.0136
334,0.0128
335,0.0122
336,0.0134
337,0
338,0.0126
339,0.0134
340,0.0147
341,0
342,0.0123
343,0.0162
344,0
345,0.0108
346,0.0142
347,0.0133
348,0.0558
349,0.0104
350,0
351,0.0154
352,0
353,0.0113
354,0.0107
355,0.0372
356,0.0136
357,0
358,0.011
359,0.0136
360,0.0139
361,7.4576
362,0.0164
363,0.0163
364,7.6521
365,0.0148
366,0.0186
367,7.6966
368,0.0245
369,0.0151
370,36.548
371,0.0197
372,0.0075
373,0.0158
374,0.0158
375,0.0145
376,0.0248
377,0.004
378,0.0125
379,0.0188
380,0.0412
381,58.1317
382,39.9504
383,0.0183
384,0.2963
385,0.0185
386,0.0158
387,0.0173
388,0.0161
389,0.0136
390,0.3203
391,0.0153
392,0.0036
393,0.0142
394,0.0164
395,0.0129
396,0.0192
397,0.0037
398,0.0138
399,0.019
400,0.0157
401,0.0039
402,0.0148
403,0.018
404,0.0037
405,0.0134
406,39.003
407,0.0445
408,0.0172
409,0.0106
410,0
411,0.0131
412,0
413,0.0103
414,0.0118
415,0.0118
416,0.0147
417,0
418,0.0115
419,0.0133
420,0.0244
421,0
422,0.0128
423,0.0135
424,0
425,0.012
426,0.015
427,0.0138
428,0.0147
429,0.0102
430,0
431,0.0125
432,0
433,0.0116
434,0.0109
435,0.0331
436,0.0135
437,0
438,0.0105
439,0.0139
440,0.014
441,0
442,0.014
443,0.0135
444,0
445,0.0113
446,0.0137
447,0.0132
448,39.7311
449,0.0119
450,0
451,0.0144
452,0
453,0.0108
454,0.0112
455,0.0102
456,0.0137
457,0
458,0.0125
459,0.0141
460,0.0138
461,0
462,0.0116
463,0.033
464,0
465,0.012
466,49.1745
467,0.0439
